#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:test" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:test" spec="beast.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:test" name="popSize">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:test" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:test">
#                    <taxonset id="TaxonSet.test" spec="beast.evolution.alignment.TaxonSet">
#                    </taxonset>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="PopSizePrior.t:test" name="distribution" x="@popSize.t:test">
#            <OneOnX id="OneOnX.0" name="distr"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@test" id="treeLikelihood.test" spec="beast.evolution.likelihood.TreeLikelihood" tree="@Tree.t:test">
#            <siteModel id="SiteModel.s:test" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:test" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:test" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:test" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:test" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:test" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:test" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	popSize	CoalescentConstant	
0	-1039.6234181673956	-1087.0257688987053	47.402350731309745	-1087.0257688987053	0.007748052431400762	0.0033772957864157604	41.71167077841057	
1000	-1038.70184742779	-1085.8740304961298	47.172183068339805	-1085.8740304961298	0.007449724683882666	0.0019646610702834114	40.939747536485605	
2000	-1031.2861228950128	-1088.727743492733	57.4416205977202	-1088.727743492733	0.004433777784946275	0.001295105203085503	50.79245724849381	
3000	-1039.0044388643614	-1085.1302095080193	46.12577064365783	-1085.1302095080193	0.009592086001835917	0.005800010477097124	40.97587508862249	
4000	-1037.353607534669	-1085.6007443603999	48.24713682573086	-1085.6007443603999	0.006894677511529774	0.0019670773032904277	42.01593038548023	
5000	-1029.5129270787231	-1088.7916531889884	59.27872611026524	-1088.7916531889884	0.004545260141788839	0.0011835142582014163	52.5394590286699	
6000	-1034.4778417565626	-1084.9011819068505	50.42334015028789	-1084.9011819068505	0.007466845846898437	0.003672368002852786	44.81642155768427	
7000	-1041.6780575219373	-1086.7211242321828	45.04306671024556	-1086.7211242321828	0.009049306966482172	0.006028241457039579	39.931766767137795	
8000	-1040.8765902198495	-1089.259242157008	48.38265193715838	-1089.259242157008	0.006422984685882367	0.003220822248636133	42.64453334185388	
9000	-1045.3915583078194	-1089.7665079532221	44.374949645402594	-1089.7665079532221	0.009338725052951942	0.003716896384902863	38.78008338134565	
10000	-1037.4978011200174	-1087.437123228673	49.939322108655645	-1087.437123228673	0.009069030991500233	0.002262131949962289	43.84787453898278	
11000	-1037.572222912873	-1087.7603816435796	50.188158730706675	-1087.7603816435796	0.006066737524862161	0.0021841346748004355	44.06162317199195	
12000	-1033.831890893041	-1084.846211611708	51.01432071866695	-1084.846211611708	0.009115866676102626	0.0017032855106662674	44.6391244789084	
