# BEAST v1.8.4
# Generated Fri Oct 27 13:24:33 PDT 2017 [seed=1509135872645]
# -beagle_off demo1.xml
state	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	kappa	clock.rate	meanRate	treeLikelihood	branchRates	skyline
0	-11541.582367601524	-1936.3996533928148	-9605.18271420871	106.75409188390788	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	1.0	2.0	1.0	1.0	-9605.18271420871	0.0	-779.2417468618177
1000	-3267.227743304961	-1177.1698527837882	-2090.0578905211732	27.10083756652732	2.674186751123599	0.6041721655500636	2.118766485274923	3.4115296060887275	12.129966107212676	2.0	2.0	1.0	3.0	1.0	6.586339098399701	1.0	1.0	-2090.0578905211732	0.0	-10.2596582703898
2000	-3226.8235126895465	-1158.7935341812863	-2068.0299785082602	11.5636533235242	0.61511306921261	0.17211723996394407	0.809542389290872	2.329375511850426	7.4857968939592165	1.0	5.0	1.0	1.0	1.0	6.658012639017632	1.0	1.0	-2068.0299785082602	0.0	4.770847564708973
3000	-3168.0486873523346	-1159.556124582361	-2008.4925627699736	19.900342084798783	0.21059741998880568	0.16714460544638676	0.723461581820847	1.1479827714835196	11.383187749695159	3.0	3.0	1.0	1.0	1.0	3.533440217870917	1.0	1.0	-2008.4925627699736	0.0	5.697211689871122
4000	-3149.433091523516	-1150.1924651571803	-1999.2406263663358	2.230162686583953	0.1738749799341315	0.19211209540184726	0.6990384569092368	1.5713708102962316	4.653523648570633	3.0	3.0	1.0	1.0	1.0	1.494289754306484	1.0	1.0	-1999.2406263663358	0.0	7.656699035145774
5000	-2383.083480065333	-1144.0029327806153	-1239.0805472847173	0.13893496253744617	0.1813814227426995	0.12784102141897807	0.5324561509494957	0.526720595715944	1.254943132007976	3.0	3.0	1.0	1.0	1.0	5.51478833710334	1.0	1.0	-1239.0805472847173	0.0	11.798255917102537
6000	-2274.190958761808	-1140.898009042614	-1133.292949719194	0.04790834168141343	0.1551454092932489	0.2499553927681841	0.4230949155942445	0.2845114894487877	0.5072525719104748	3.0	1.0	2.0	2.0	1.0	3.909328017832249	1.0	1.0	-1133.292949719194	0.0	11.470966328336095
7000	-2229.0449379164393	-1135.781581487138	-1093.263356429301	0.009267569878617564	0.18310080797371864	0.09925517330942381	0.21541593600822195	0.25858695378071295	0.4811534933509592	1.0	3.0	3.0	1.0	1.0	2.914579846750553	1.0	1.0	-1093.263356429301	0.0	14.904637161187244
8000	-2217.0379783426	-1124.8765060564215	-1092.1614722861787	0.009011599125902981	0.16877586608431797	0.049528557751176365	0.0728370839385686	0.08236719418550881	0.16028487296036237	1.0	2.0	1.0	4.0	1.0	2.787962218886505	1.0	1.0	-1092.1614722861787	0.0	21.74485352354423
9000	-2204.479335741229	-1117.5814433430207	-1086.8978923982086	0.008790398537069383	0.15035213815858192	0.04060643210223656	0.06663076217053564	0.023812463239479633	0.049402724818651066	1.0	1.0	1.0	2.0	4.0	1.9289109869601246	1.0	1.0	-1086.8978923982086	0.0	26.45128915105628
