materialSampleID,principalInvestigator,locality,phylum,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,georeferenceProtocol,yearCollected,monthCollected,dayCollected,genus,species,permitInformation,basisOfIdentification,country,lifeStage,sex,geneticTissueType,stateProvince,island,islandGroup,establishmentMeans,habitat,microHabitat,substratum,minimumDepthInMeters,maximumDepthInMeters,minimumDistanceAboveSurfaceInMeters,maximumDistanceAboveSurfaceInMeters,associatedTaxa,wormsID,weight,length,class,order,family,subSpecies,vernacularName,taxonRemarks,sampleOwnerInstitutionCode,fundingSource,occurrenceID,catalogNumber,associatedSequences,recordedBy,identifiedBy,yearIdentified,monthIdentified,dayIdentified,preservative,samplingProtocol,plateID,wellID,extractionID,previousTissueID,tissueStorageID,associatedMedia,associatedReferences,previousIdentifications,occurrenceRemarks,fieldNotes,eventRemarks,bcid
858,Cynthia Riginos,Ningaloo Marine Park,Chordata,-23.0409,113.8202,,GPS,2009,6,9,Pomacentrus,coelestis,"""SF006619/CE002227; WA-DEC""",Morphology,Australia,adult,,,Western Australia,,,,,,,3.5,3.5,,,,277145,,,,,,,,,UQ,ARC_DP0878306,858,,JF718154,Treml/Riginos,Treml/Riginos,2009,6,9,DMSO,whole,,,,,,photo vouchers of individual fishes and small invertebrates on lab server,"""Mirams AG, Treml EA, Shields J, Liggins L, and C. Riginos. 2011. Vicariance and dispersal across an intermittent barrier: population genetic structure of marine animals across the Torres Strait land bridge. Coral Reefs 30: 937-929. DOI 10.1007/s00338-011-0767-x; Liggins et al. in prep.""",,,,,ark:/21547/qI2858
845,Cynthia Riginos,Ningaloo Marine Park,Chordata,-23.0409,113.8202,,GPS,2009,6,9,Pomacentrus,coelestis,"""SF006619/CE002227; WA-DEC""",Morphology,Australia,adult,,,Western Australia,,,,,,,3.5,3.5,,,,277145,,,,,,,,,UQ,ARC_DP0878306,845,,"""JF718018; JF718142""",Treml/Riginos,Treml/Riginos,2009,6,9,DMSO,whole,,,,,,photo vouchers of individual fishes and small invertebrates on lab server,"""Mirams AG, Treml EA, Shields J, Liggins L, and C. Riginos. 2011. Vicariance and dispersal across an intermittent barrier: population genetic structure of marine animals across the Torres Strait land bridge. Coral Reefs 30: 937-929. DOI 10.1007/s00338-011-0767-x; Liggins et al. in prep.""",,,,,ark:/21547/qI2845
230,Cynthia Riginos,Heron Island,Chordata,-23.45505,151.9236167,,GPS,2008,19,11,Pomacentrus,coelestis,"""G08/28114.1; Queensland Government""",Morphology,Australia,adult,,,Great Barrier Reef,,,,,,,11,11,,,,277145,,,,,,,,,UQ,ARC_DP0878306,230,,"""JF717986; JF718117""",Treml/Riginos,Treml/Riginos,2008,19,11,EtOH,tissue,,,,,,photo vouchers of individual fishes and small invertebrates on lab server,"""Mirams AG, Treml EA, Shields J, Liggins L, and C. Riginos. 2011. Vicariance and dispersal across an intermittent barrier: population genetic structure of marine animals across the Torres Strait land bridge. Coral Reefs 30: 937-929. DOI 10.1007/s00338-011-0767-x; Liggins et al. in prep.""",,,,,ark:/21547/qI2230
618,Cynthia Riginos,Lizard Island,Chordata,-14.64596667,145.4539667,,GPS,2009,4,11,Pomacentrus,coelestis,"""G09/281114.1 & 118636; GBRMPA & QLD Fisheries""",Morphology,Australia,adult,,,Great Barrier Reef,,,,,,,,,,,,277145,,,,,,,,,UQ,ARC_DP0878306,618,,"""JF718006; JF718129""",Treml/Mirams/Aguirre,Treml/Mirams/Aguirre,2009,4,11,EtOH,tissue,,,,,,photo vouchers of individual fishes and small invertebrates on lab server,"""Mirams AG, Treml EA, Shields J, Liggins L, and C. Riginos. 2011. Vicariance and dispersal across an intermittent barrier: population genetic structure of marine animals across the Torres Strait land bridge. Coral Reefs 30: 937-929. DOI 10.1007/s00338-011-0767-x; Liggins et al. in prep.""",,,,"Jacob (JCU) caught using a barrier net, photo on file",ark:/21547/qI2618
227,Cynthia Riginos,Heron Island,Chordata,-23.45505,151.9236167,,GPS,2008,19,11,Pomacentrus,coelestis,"""G08/28114.1; Queensland Government""",Morphology,Australia,adult,,,Great Barrier Reef,,,,,,,11,11,,,,277145,,,,,,,,,UQ,ARC_DP0878306,227,,"""JF717983; JF718114""",Treml/Riginos,Treml/Riginos,2008,19,11,EtOH,tissue,,,,,,photo vouchers of individual fishes and small invertebrates on lab server,"""Mirams AG, Treml EA, Shields J, Liggins L, and C. Riginos. 2011. Vicariance and dispersal across an intermittent barrier: population genetic structure of marine animals across the Torres Strait land bridge. Coral Reefs 30: 937-929. DOI 10.1007/s00338-011-0767-x; Liggins et al. in prep.""",,,,,ark:/21547/qI2227
CW06,Shang-Yin Liu,"Chinwan Outer Bay, Penghu, Taiwan",Chordata,23.529366,119.553652,500M,google earth,2006,,,Pomacentrus,coelestis,,Morphology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ark:/21547/qM2CW06
HN02,Shang-Yin Liu,"Luhuitou, Hainan Island, China",Chordata,18.212638,109.474039,500M,google earth,2006,,,Pomacentrus,coelestis,,Morphology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ark:/21547/qM2HN02
MA10,Shang-Yin Liu,"Maoao, Taiwan",Chordata,25.015307,121.98987,500M,google earth,2006,,,Pomacentrus,coelestis,,Morphology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ark:/21547/qM2MA10
HN12,Shang-Yin Liu,"Luhuitou, Hainan Island, China",Chordata,18.212638,109.474039,500M,google earth,2006,,,Pomacentrus,coelestis,,Morphology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ark:/21547/qM2HN12
HN15,Shang-Yin Liu,"Luhuitou, Hainan Island, China",Chordata,18.212638,109.474039,500M,google earth,2006,,,Pomacentrus,coelestis,,Morphology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ark:/21547/qM2HN15
CW15,Shang-Yin Liu,"Chinwan Outer Bay, Penghu, Taiwan",Chordata,23.529366,119.553652,500M,google earth,2006,,,Pomacentrus,coelestis,,Morphology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ark:/21547/qM2CW15
HN13,Shang-Yin Liu,"Luhuitou, Hainan Island, China",Chordata,18.212638,109.474039,500M,google earth,2006,,,Pomacentrus,coelestis,,Morphology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ark:/21547/qM2HN13
MA16,Shang-Yin Liu,"Maoao, Taiwan",Chordata,25.015307,121.98987,500M,google earth,2006,,,Pomacentrus,coelestis,,Morphology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ark:/21547/qM2MA16
MA03,Shang-Yin Liu,"Maoao, Taiwan",Chordata,25.015307,121.98987,500M,google earth,2006,,,Pomacentrus,coelestis,,Morphology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ark:/21547/qM2MA03
CW04,Shang-Yin Liu,"Chinwan Outer Bay, Penghu, Taiwan",Chordata,23.529366,119.553652,500M,google earth,2006,,,Pomacentrus,coelestis,,Morphology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ark:/21547/qM2CW04
HN05,Shang-Yin Liu,"Luhuitou, Hainan Island, China",Chordata,18.212638,109.474039,500M,google earth,2006,,,Pomacentrus,coelestis,,Morphology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ark:/21547/qM2HN05
HN16,Shang-Yin Liu,"Luhuitou, Hainan Island, China",Chordata,18.212638,109.474039,500M,google earth,2006,,,Pomacentrus,coelestis,,Morphology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ark:/21547/qM2HN16
