"","subregion","population","area"
"1","alameda",1578891,738
"2","alpine",1159,739
"3","amador",36519,593
"4","butte",222090,1640
"5","calaveras",44515,1020
"6","colusa",21358,1151
"7","contra costa",1094205,720
"8","del norte",27873,1008
"9","el dorado",181737,1712
"10","fresno",955272,5963
"11","glenn",27940,1315
"12","humboldt",134493,3573
"13","imperial",176584,4175
"14","inyo",18467,10192
"15","kern",864124,8142
"16","kings",150960,1390
"17","lake",63860,1258
"18","lassen",32163,4558
"19","los angeles",10017068,4060
"20","madera",152389,2138
"21","marin",258365,520
"22","mariposa",17755,1451
"23","mendocino",87192,3509
"24","merced",263228,1929
"25","modoc",9147,3944
"26","mono",14074,3044
"27","monterey",428826,3322
"28","napa",140326,754
"29","nevada",98200,958
"30","orange",3114363,790
"31","placer",367309,1503
"32","plumas",18859,2554
"33","riverside",2292507,7208
"34","sacramento",1462131,966
"35","san benito",57600,1389
"36","san bernardino",2088371,20062
"37","san diego",3211252,4204
"38","san francisco",837442,47
"39","san joaquin",704379,1399
"40","san luis obispo",276443,3304
"41","san mateo",747373,449
"42","santa barbara",435697,2738
"43","santa clara",1862041,1291
"44","santa cruz",269419,446
"45","shasta",178980,3786
"46","sierra",3047,953
"47","siskiyou",43799,6287
"48","solano",424788,828
"49","sonoma",495025,1576
"50","stanislaus",525491,1495
"51","sutter",95350,603
"52","tehama",63057,2951
"53","trinity",13448,3179
"54","tulare",454143,4824
"55","tuolumne",53874,2236
"56","ventura",839620,1846
"57","yolo",204593,1012
"58","yuba",73340,630
