materialSampleID	principalInvestigator	locality	phylum	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	georeferenceProtocol	yearCollected	monthCollected	dayCollected	genus	species	permitInformation	basisOfIdentification	WoRMSID	country	occurrenceRemarks	islandGroup	occurrenceID	preservative
1374.01	Paul Barber	Biak	Chordata	-1.185416657	136.08165	NA	GPS	2005	4	5	Auxis	thazard	LIPI 1187/SU/KS/2006 and 04239/SU.3/KS/2006	Morphology	127016	Indonesia	Biak Fish Market	NA	NA	Ethanol
1374.03	Paul Barber	Biak	Chordata	-1.185416657	136.08165	NA	GPS	2005	4	5	Auxis	thazard	LIPI 1187/SU/KS/2006 and 04239/SU.3/KS/2006	Morphology	127016	Indonesia	Biak Fish Market	NA	NA	Ethanol
1374.04	Paul Barber	Biak	Chordata	-1.185416657	136.08165	NA	GPS	2005	4	5	Auxis	thazard	LIPI 1187/SU/KS/2006 and 04239/SU.3/KS/2006	Morphology	127016	Indonesia	Biak Fish Market	NA	NA	Ethanol
1374.05	Paul Barber	Biak	Chordata	-1.185416657	136.08165	NA	GPS	2005	4	5	Auxis	thazard	LIPI 1187/SU/KS/2006 and 04239/SU.3/KS/2006	Morphology	127016	Indonesia	Biak Fish Market	NA	NA	Ethanol
1374.07	Paul Barber	Biak	Chordata	-1.185416657	136.08165	NA	GPS	2005	4	5	Auxis	thazard	LIPI 1187/SU/KS/2006 and 04239/SU.3/KS/2006	Morphology	127016	Indonesia	Biak Fish Market	NA	NA	Ethanol
1374.08	Paul Barber	Biak	Chordata	-1.185416657	136.08165	NA	GPS	2005	4	5	Auxis	thazard	LIPI 1187/SU/KS/2006 and 04239/SU.3/KS/2006	Morphology	127016	Indonesia	Biak Fish Market	NA	NA	Ethanol
1374.1	Paul Barber	Biak	Chordata	-1.185416657	136.08165	NA	GPS	2005	4	5	Auxis	thazard	LIPI 1187/SU/KS/2006 and 04239/SU.3/KS/2006	Morphology	127016	Indonesia	Biak Fish Market	NA	NA	Ethanol
1374.11	Paul Barber	Biak	Chordata	-1.185416657	136.08165	NA	GPS	2005	4	5	Auxis	thazard	LIPI 1187/SU/KS/2006 and 04239/SU.3/KS/2006	Morphology	127016	Indonesia	Biak Fish Market	NA	NA	Ethanol
1374.12	Paul Barber	Biak	Chordata	-1.185416657	136.08165	NA	GPS	2005	4	5	Auxis	thazard	LIPI 1187/SU/KS/2006 and 04239/SU.3/KS/2006	Morphology	127016	Indonesia	Biak Fish Market	NA	NA	Ethanol
1374.13	Paul Barber	Biak	Chordata	-1.185416657	136.08165	NA	GPS	2005	4	5	Auxis	thazard	LIPI 1187/SU/KS/2006 and 04239/SU.3/KS/2006	Morphology	127016	Indonesia	Biak Fish Market	NA	NA	Ethanol
1374.14	Paul Barber	Biak	Chordata	-1.185416657	136.08165	NA	GPS	2005	4	5	Auxis	thazard	LIPI 1187/SU/KS/2006 and 04239/SU.3/KS/2006	Morphology	127016	Indonesia	Biak Fish Market	NA	NA	Ethanol
1374.15	Paul Barber	Biak	Chordata	-1.185416657	136.08165	NA	GPS	2005	4	5	Auxis	thazard	LIPI 1187/SU/KS/2006 and 04239/SU.3/KS/2006	Morphology	127016	Indonesia	Biak Fish Market	NA	NA	Ethanol
1374.16	Paul Barber	Biak	Chordata	-1.185416657	136.08165	NA	GPS	2005	4	5	Auxis	thazard	LIPI 1187/SU/KS/2006 and 04239/SU.3/KS/2006	Morphology	127016	Indonesia	Biak Fish Market	NA	NA	Ethanol
1374.17	Paul Barber	Biak	Chordata	-1.185416657	136.08165	NA	GPS	2005	4	5	Auxis	thazard	LIPI 1187/SU/KS/2006 and 04239/SU.3/KS/2006	Morphology	127016	Indonesia	Biak Fish Market	NA	NA	Ethanol
1374.18	Paul Barber	Biak	Chordata	-1.185416657	136.08165	NA	GPS	2005	4	5	Auxis	thazard	LIPI 1187/SU/KS/2006 and 04239/SU.3/KS/2006	Morphology	127016	Indonesia	Biak Fish Market	NA	NA	Ethanol
1374.19	Paul Barber	Biak	Chordata	-1.185416657	136.08165	NA	GPS	2005	4	5	Auxis	thazard	LIPI 1187/SU/KS/2006 and 04239/SU.3/KS/2006	Morphology	127016	Indonesia	Biak Fish Market	NA	NA	Ethanol
1374.2	Paul Barber	Biak	Chordata	-1.185416657	136.08165	NA	GPS	2005	4	5	Auxis	thazard	LIPI 1187/SU/KS/2006 and 04239/SU.3/KS/2006	Morphology	127016	Indonesia	Biak Fish Market	NA	NA	Ethanol
1405.01	Paul Barber	Yapen	Chordata	-1.870066671	136.1954667	NA	GPS	NA	NA	NA	Auxis	thazard	LIPI 1187/SU/KS/2006 and 04239/SU.3/KS/2006	Morphology	127016	Indonesia	Yapen	NA	NA	Ethanol
1405.02	Paul Barber	Yapen	Chordata	-1.870066671	136.1954667	NA	GPS	NA	NA	NA	Auxis	thazard	LIPI 1187/SU/KS/2006 and 04239/SU.3/KS/2006	Morphology	127016	Indonesia	Yapen	NA	NA	Ethanol
1405.03	Paul Barber	Yapen	Chordata	-1.870066671	136.1954667	NA	GPS	NA	NA	NA	Auxis	thazard	LIPI 1187/SU/KS/2006 and 04239/SU.3/KS/2006	Morphology	127016	Indonesia	Yapen	NA	NA	Ethanol
1405.05	Paul Barber	Yapen	Chordata	-1.870066671	136.1954667	NA	GPS	NA	NA	NA	Auxis	thazard	LIPI 1187/SU/KS/2006 and 04239/SU.3/KS/2006	Morphology	127016	Indonesia	Yapen	NA	NA	Ethanol
