"","Mean","SD","lower","upper","ess","Point est.","Upper C.I."
"Steps",17499750,4330151.07297824,1e+07,24250000,4.500075010735,NA,NA
"Locus",1,0,1,1,0,NA,NA
"Replicate",2,0.816501117057643,1,3,0,Inf,NA
"lnPost",-343.025978688111,64.1080558871564,-461.111554,-229.184587,287.505608704083,1.00633116972213,1.01507711683331
"lnDataL",-1214.87272063017,10.3985445839837,-1235.649254,-1195.187115,2316.76802304506,1.00224993244023,1.00697000381698
"lnPrbGParam",871.846741939233,63.6320743082252,753.016696,983.144805,259.180501411691,1.00646632030635,1.01365551766159
"lnPrior",-39.6362327550778,5.21699788381524,-49.410704,-29.642156,241.54953904828,1.00468593699131,1.01089306961052
"treeintervals",288.998977777778,5.04446159724632,279,298,452.837882716576,1.01609140976456,1.04818029553579
"treelength",0.200395733133333,0.0330148156182081,0.139211,0.265931,347.321050698935,1.00309188532385,1.01095731465427
"Theta_1",0.0129485345147778,0.0118264092839606,4.993e-05,0.0364,5952.8649918886,1.00578155335289,1.01619123860487
"Theta_2",0.0301420712222222,0.008242379360908,0.01564,0.04686,669.990013168589,1.00202539359531,1.00691474006959
"Theta_3",0.0917175122222222,0.0224634594765707,0.05705,0.1377,153.560753168049,1.02064464111998,1.07140702352128
"Theta_4",0.0106983979352222,0.0101288549861051,2.688e-05,0.03087,73956.3784959687,1.00027770891919,1.00074595083055
"M_2_1",414489.233608667,322083.352798826,337.28,939103,190.896719039066,1.01588073364572,1.05147600161394
"M_2_3",772.052229888889,271.018355274347,334.81,1311.2,249.037603476464,1.00764928168436,1.02083108684678
"M_3_4",481071.533971111,291053.942567259,7473.3,947504,302.310636908982,1.01864584037661,1.06509181831301
"mL_1.000000",-1214.87932211303,0.146409927075035,-1215.088591,-1214.618366,9.71050688559237,7.18944380190678,14.8430403284644
"mL_1.500000",-1276.07676541482,0.328209646153882,-1276.831681,-1275.575084,4.51395745214056,3.74248698876627,8.36832569314367
"mL_3.000000",-1649.87158092098,0.427040811045776,-1650.387849,-1649.134896,5.53901060923355,6.8516572965316,15.0883931829716
"mL_100000.000000",-2413.83152158819,2.9692184927897,-2419.851474,-2408.276055,3.80617681862696,2.37919483996813,6.80972777494235
"mL_thermo",-1580.08093754736,0.578186787379957,-1581.112184,-1579.085775,3.31535709215227,2.87431443212408,8.99419503996393
"mL_harmonic",-1256.711549001,4.53373175160275,-1260.269131,-1249.744514,8.16445506536143,12.5842881844132,77.6228443860206
"Nm_2_1",4356.45041644196,6221.76861816666,4.3336408,16786.06056,1165.79814803176,1.00303726105801,1.0098265509126
"Nm_2_3",68.89686956007,23.9947326071919,28.8307327,118.182708,441.435715709936,1.00854308935674,1.02419125577256
"Nm_3_4",4976.85994037075,6326.33996180809,9.234,17550.44214,2137.13734890672,1.0040138731353,1.01246642011996
