,pop,Continent,Ocean,NMDS
1,Ashmore,Australia,Indian,2
2,Ashmore,Australia,Indian,2
3,Ashmore,Australia,Indian,2
4,Ashmore,Australia,Indian,2
5,Ashmore,Australia,Indian,2
6,Ashmore,Australia,Indian,2
7,Ashmore,Australia,Indian,2
8,Ashmore,Australia,Indian,2
9,Ashmore,Australia,Indian,2
10,Ashmore,Australia,Indian,2
11,Ashmore,Australia,Indian,2
12,Ashmore,Australia,Indian,2
13,Ashmore,Australia,Indian,2
14,Ashmore,Australia,Indian,2
15,Ashmore,Australia,Indian,2
16,Ashmore,Australia,Indian,2
17,Ashmore,Australia,Indian,2
18,Ashmore,Australia,Indian,2
19,Ashmore,Australia,Indian,2
20,Ashmore,Australia,Indian,2
21,Ashmore,Australia,Indian,2
22,Ashmore,Australia,Indian,2
23,Ashmore,Australia,Indian,2
24,Ashmore,Australia,Indian,2
25,Ashmore,Australia,Indian,2
26,Ashmore,Australia,Indian,2
27,Ashmore,Australia,Indian,2
28,Ashmore,Australia,Indian,2
29,Ashmore,Australia,Indian,2
30,Ashmore,Australia,Indian,2
31,Ashmore,Australia,Indian,2
32,Ashmore,Australia,Indian,2
33,Bohnots,Asia,Pacific,2
34,Bohnots,Asia,Pacific,2
35,Bohnots,Asia,Pacific,2
36,Bohnots,Asia,Pacific,2
37,Bohnots,Asia,Pacific,2
38,Bohnots,Asia,Pacific,2
39,Bohnots,Asia,Pacific,2
40,Bohnots,Asia,Pacific,2
41,Bohnots,Asia,Pacific,2
42,Bohnots,Asia,Pacific,2
43,Bohnots,Asia,Pacific,2
44,Bohnots,Asia,Pacific,2
45,Bohnots,Asia,Pacific,2
46,Bohnots,Asia,Pacific,2
47,Bootles,Coral Triangle,Pacific,3
48,Bootles,Coral Triangle,Pacific,3
49,Bootles,Coral Triangle,Pacific,3
50,Bootles,Coral Triangle,Pacific,3
51,Bootles,Coral Triangle,Pacific,3
52,Bootles,Coral Triangle,Pacific,3
53,Bootles,Coral Triangle,Pacific,3
54,Bootles,Coral Triangle,Pacific,3
55,Bootles,Coral Triangle,Pacific,3
56,Bootles,Coral Triangle,Pacific,3
57,Bootles,Coral Triangle,Pacific,3
58,Bootles,Coral Triangle,Pacific,3
59,Bootles,Coral Triangle,Pacific,3
60,Bootles,Coral Triangle,Pacific,3
61,Bootles,Coral Triangle,Pacific,3
62,Dili,Coral Triangle,Pacific,2
63,Dili,Coral Triangle,Pacific,2
64,Dili,Coral Triangle,Pacific,2
65,Dili,Coral Triangle,Pacific,2
66,Dili,Coral Triangle,Pacific,2
67,Dili,Coral Triangle,Pacific,2
68,Dili,Coral Triangle,Pacific,2
69,Dili,Coral Triangle,Pacific,2
70,Dili,Coral Triangle,Pacific,2
71,Dili,Coral Triangle,Pacific,2
72,Dili,Coral Triangle,Pacific,2
73,Dongsha,Asia,Pacific,1
74,Dongsha,Asia,Pacific,1
75,Dongsha,Asia,Pacific,1
76,Dongsha,Asia,Pacific,1
77,Dongsha,Asia,Pacific,1
78,Dongsha,Asia,Pacific,1
79,Dongsha,Asia,Pacific,1
80,Dongsha,Asia,Pacific,1
81,Dongsha,Asia,Pacific,1
82,Dongsha,Asia,Pacific,1
83,Dongsha,Asia,Pacific,1
84,Dongsha,Asia,Pacific,1
85,Dongsha,Asia,Pacific,1
86,Dongsha,Asia,Pacific,1
87,Dongsha,Asia,Pacific,1
88,Dongsha,Asia,Pacific,1
89,Dongsha,Asia,Pacific,1
90,Dongsha,Asia,Pacific,1
